age_kyr_bp,co2_ppm
156.307,189.4
158.666,189.0
159.716,185.5
160.155,187.5
163.858,204.3
164.335,196.5
166.143,191.6
166.784,190.1
167.914,186.7
168.745,183.8
169.514,196.6
171.939,197.8
174.442,197.7
175.833,196.0
176.853,190.3
177.534,189.4
177.73,190.1
179.873,207.7
181.302,213.2
182.196,217.7
183.258,198.1
184.371,199.7
186.411,203.4
188.437,210.7
189.806,231.3
191.255,231.4
191.964,220.3
193.075,218.0
195.126,226.5
195.799,220.0
197.587,226.4
198.327,241.2
198.938,242.6
201.752,250.9
202.744,239.1
203.842,247.6
205.203,244.4
205.576,231.9
205.945,232.2
206.36,228.6
206.897,226.3
207.24,229.4
207.623,231.4
208.109,238.1
208.275,237.2
208.822,230.0
209.082,240.5
209.445,242.2
209.966,244.6
210.175,243.9
210.832,247.2
211.058,252.0
211.578,246.9
212.079,239.5
212.533,257.4
213.33,243.4
214.159,251.2
215.081,241.4
215.912,240.3
216.306,242.6
216.865,247.5
217.416,251.7
217.695,251.1
218.201,245.3
219.068,240.5
220.936,214.1
221.697,216.1
222.54,207.1
223.129,208.8
224.272,205.6
226.26,203.3
226.85,215.7
227.72,235.5
228.439,234.5
228.767,233.1
229.572,224.5
231.13,232.4
232.192,233.9
232.856,241.6
235.991,245.2
236.426,252.1
236.851,241.4
237.392,247.4
237.906,243.1
238.425,239.1
239.008,245.6
239.387,245.8
239.739,247.4
240.19,252.8
241.333,259.7
241.855,263.2
242.685,279.0
243.139,280.2
244.122,263.7
244.582,252.3
245.057,249.9
245.564,236.7
246.189,230.4
246.87,219.4
249.1,214.7
251.391,200.2
252.132,213.9
252.954,195.4
253.757,196.7
254.587,195.4
256.299,199.0
257.061,201.9
257.908,204.0
259.397,203.9
260.894,209.6
261.294,205.7
262.055,208.9
262.817,214.6
264.584,228.1
266.134,199.9
267.007,211.7
268.258,188.7
268.995,187.2
269.94,194.2
271.036,198.8
272.15,184.7
273.166,190.4
274.164,193.9
275.155,194.1
276.258,198.4
277.443,193.2
278.591,202.2
279.619,204.5
280.559,211.0
281.401,215.3
282.593,223.7
284.435,231.3
285.931,228.0
286.61,226.4
287.444,231.4
287.82,230.4
288.286,231.0
290.185,234.9
290.864,220.4
291.563,217.1
292.818,207.6
293.651,206.0
294.455,206.7
295.364,212.7
296.829,213.1
298.705,217.1
299.376,224.4
300.116,231.0
301.026,236.1
302.084,239.0
303.116,236.0
304.101,240.2
305.1,240.7
305.778,250.2
306.581,248.6
307.463,244.8
308.326,225.8
309.424,227.8
310.011,226.2
310.776,233.2
311.67,237.8
312.593,239.0
313.343,241.9
314.052,251.6
314.836,256.7
315.658,257.1
316.451,246.8
317.15,272.6
317.933,251.6
318.853,245.2
319.83,233.4
320.916,255.8
321.817,249.2
323.383,257.2
324.167,260.4
325.007,260.3
325.823,260.5
326.591,266.2
327.436,264.0
328.087,266.1
328.771,270.1
329.414,271.9
330.053,275.1
331.294,265.0
332.144,271.7
332.799,272.6
333.5,273.1
333.998,282.4
334.349,289.1
334.544,288.4
335.102,298.6
335.708,278.1
336.378,285.8
336.868,278.6
337.517,270.5
338.214,255.7
338.991,241.9
339.984,239.6
340.735,234.2
342.792,250.1
343.924,200.7
345.001,205.2
346.321,204.8
347.545,211.9
349.139,220.3
351.676,221.1
353.175,216.2
354.413,209.4
355.818,209.2
359.01,193.0
360.684,186.1
362.568,185.8
365.19,201.2
368.066,206.3
371.386,201.9
373.458,199.9
375.205,214.7
377.035,224.6
378.76,229.6
382.931,227.0
384.557,240.0
386.284,239.1
387.825,246.8
389.41,245.8
392.287,258.1
392.977,259.5
394.004,273.6
394.906,260.7
398.275,276.3
399.926,277.1
400.71,283.2
402.141,283.1
402.86,275.7
404.313,276.5
405.063,280.5
406.543,279.6
407.283,285.6
408.819,284.5
409.598,274.7
410.454,282.6
411.348,283.5
413.259,274.9
414.211,264.9
415.18,271.6
415.946,276.4
416.425,271.7
417.44,273.4
417.957,271.8
418.505,274.6
419.576,273.7
420.134,271.2
420.702,273.8
421.912,268.6
422.533,266.4
423.226,270.6
424.508,267.7
425.132,268.3
425.741,270.8
426.237,270.0
426.622,265.4
427.155,255.3
427.941,252.1
428.84,248.2
429.178,242.5
431.024,219.7
432.179,227.2
433.85,211.5
434.379,207.6
435.94,209.8
437.485,207.5
439.063,200.3
440.66,201.7
442.231,201.3
443.845,202.0
445.332,199.1
447.219,201.1
448.459,203.5
449.571,208.1
450.643,201.7
451.747,201.2
452.736,204.9
453.776,201.9
454.864,198.4
456.002,193.3
457.114,192.5
457.745,199.1
458.208,204.3
458.794,203.3
459.212,208.3
460.252,202.4
461.286,195.5
462.414,190.7
463.527,194.4
464.599,199.9
465.265,205.2
465.602,210.0
466.632,208.1
467.707,204.4
468.878,203.4
470.04,205.5
470.726,206.5
471.201,215.5
471.825,218.7
472.263,229.2
472.863,232.7
473.218,243.7
473.801,243.9
474.092,245.6
474.974,241.2
475.925,233.1
476.95,232.8
477.941,236.6
478.892,239.1
479.403,236.5
479.776,231.3
480.328,220.8
480.727,218.8
481.663,223.8
482.581,223.4
483.395,227.3
484.18,231.4
484.936,231.4
485.668,231.2
486.399,233.0
487.129,232.9
487.848,231.3
488.565,237.1
489.302,242.0
489.72,240.9
490.026,252.8
490.495,249.3
490.734,242.6
491.451,243.3
492.155,246.7
492.864,243.7
493.593,239.7
494.3,239.1
495.024,238.3
495.726,238.5
496.444,237.6
497.188,236.4
497.966,236.5
498.737,232.8
499.527,230.6
500.305,230.8
501.084,228.2
501.861,230.8
502.638,231.2
503.419,232.0
504.177,232.2
504.912,234.1
505.684,233.9
506.484,235.5
507.312,236.0
508.118,238.2
508.941,237.0
509.785,240.3
510.652,233.4
511.512,236.4
512.364,235.2
513.205,242.0
514.033,238.2
514.848,239.2
515.651,241.5
516.421,243.0
517.155,247.2
517.876,246.2
518.6,245.5
519.329,245.3
520.073,247.7
520.822,245.5
521.574,243.5
523.802,241.9
524.571,236.8
525.337,235.8
526.107,233.7
526.896,230.3
527.699,227.8
528.517,224.7
529.403,222.7
530.291,221.2
531.201,220.3
532.079,220.7
532.593,214.5
532.988,211.4
533.554,204.4
533.932,200.0
534.668,195.1
535.044,193.8
535.695,190.5
536.178,199.8
537.334,199.4
538.441,205.0
539.514,206.4
540.584,212.9
541.654,211.2
542.74,205.0
543.845,203.6
544.886,208.1
545.865,210.3
546.83,209.6
547.807,209.7
548.771,204.6
549.72,202.5
550.231,208.8
550.583,213.6
551.381,215.2
552.111,219.9
552.682,221.7
553.021,222.3
553.246,226.3
553.619,222.1
553.809,220.3
554.48,223.6
555.158,224.3
555.842,226.7
556.407,233.9
556.923,241.0
557.199,243.0
557.385,249.1
557.657,244.0
557.838,250.5
558.155,245.6
558.306,240.4
558.778,238.1
559.316,234.5
559.637,229.7
559.873,230.2
560.437,230.3
560.966,228.3
561.451,231.6
561.888,231.9
562.31,234.6
562.656,234.1
563.135,240.1
563.536,242.3
563.928,245.7
564.311,245.8
564.724,247.6
565.134,251.4
565.539,252.4
565.896,252.6
566.245,251.4
566.589,253.7
566.918,254.3
567.239,253.9
567.549,254.5
567.885,253.2
568.204,253.9
568.534,252.8
568.93,253.0
569.315,250.2
569.684,251.3
570.067,250.0
570.463,251.3
570.862,251.8
571.261,251.8
571.633,249.6
571.975,251.6
572.316,250.3
572.67,246.3
573.054,247.7
573.476,249.2
573.913,248.7
574.365,251.8
574.806,251.9
575.234,252.1
575.655,248.9
576.113,252.5
576.599,252.9
577.115,251.3
577.654,251.3
578.196,251.1
578.742,249.1
579.281,252.9
579.833,251.5
580.211,244.1
580.402,243.8
580.814,236.2
581.119,230.3
581.547,225.2
581.928,219.4
582.455,215.4
582.836,209.9
583.574,206.7
583.959,210.6
586.721,224.0
587.172,226.0
587.889,234.4
588.279,238.8
588.941,246.3
589.425,250.2
590.04,248.1
590.489,243.6
591.019,237.4
592.383,225.7
592.786,229.4
593.561,233.2
594.047,238.2
594.864,238.0
595.436,232.9
596.222,221.2
596.791,216.4
597.804,216.3
598.33,219.0
599.218,226.0
599.815,229.4
601.255,232.4
602.601,237.9
603.949,239.1
605.303,244.5
606.626,248.5
607.979,254.6
609.247,259.2
610.429,257.7
611.551,257.8
611.601,259.7
612.762,258.1
613.943,256.2
615.141,252.8
616.299,252.9
616.357,252.7
617.61,252.6
618.954,248.3
620.284,245.9
621.651,243.5
622.951,243.9
623.055,239.2
624.497,237.9
625.398,235.0
626.048,228.5
626.969,215.7
627.83,205.8
629.14,199.5
629.77,205.3
629.866,200.8
631.526,200.5
632.357,196.5
634.078,193.1
634.881,195.9
635.009,194.9
636.522,194.0
637.714,195.3
639.418,188.8
640.372,190.2
642.075,191.4
642.857,191.6
644.301,195.3
645.151,195.8
646.377,189.9
647.255,191.8
648.612,193.5
649.191,196.2
650.348,189.2
650.947,193.4
652.104,187.3
652.709,186.8
653.73,192.9
654.439,194.8
655.524,200.0
656.133,200.3
657.181,192.9
657.654,189.2
657.722,190.9
658.764,184.1
659.294,187.4
659.412,185.7
660.464,188.4
661.118,194.0
661.216,191.6
662.282,189.7
662.797,193.9
662.878,190.9
663.938,191.0
664.32,192.6
664.408,187.8
665.322,180.2
665.837,180.5
666.753,174.8
667.41,173.7
668.415,177.7
668.916,180.7
669.819,187.7
670.296,191.5
671.071,194.9
671.458,196.8
672.151,194.8
672.761,197.1
673.696,201.1
674.229,204.7
675.028,211.7
675.407,216.1
676.531,222.6
677.152,220.0
677.601,216.6
678.328,218.2
678.742,220.1
679.455,229.2
679.735,232.7
680.313,233.6
680.628,233.1
681.226,225.8
681.67,227.9
682.344,221.3
682.74,219.1
683.458,220.2
683.829,222.7
684.424,225.6
684.758,224.4
685.295,221.8
685.68,220.6
686.269,220.6
686.582,222.6
687.154,222.7
687.446,223.0
688.0,226.7
688.3,227.7
688.81,227.6
689.158,230.7
689.693,232.1
689.951,232.3
690.475,235.8
690.736,236.4
691.222,239.3
691.468,238.4
691.968,239.4
692.318,243.6
692.832,239.3
693.077,238.5
693.574,243.7
693.821,237.8
694.28,239.3
694.537,240.5
694.949,239.3
695.259,239.8
695.732,236.8
695.982,238.7
696.435,238.1
696.645,238.1
697.09,239.4
697.342,238.4
697.747,239.9
698.039,241.0
698.506,240.9
698.753,241.8
699.216,238.9
699.439,239.0
699.865,239.7
700.104,237.2
700.485,236.7
700.815,236.6
701.269,235.4
701.525,232.5
701.993,230.9
702.201,232.2
702.734,232.2
703.01,230.6
703.469,233.3
703.796,232.3
704.251,232.8
704.582,233.5
705.053,234.0
705.244,235.1
705.727,237.2
706.053,237.7
706.493,236.1
706.711,236.1
707.311,238.8
707.644,233.5
708.2,233.6
708.413,233.1
708.959,234.8
709.454,231.4
709.91,230.5
710.456,227.0
710.983,224.9
711.399,225.4
712.021,224.1
712.244,224.0
713.312,223.9
714.066,227.6
714.404,227.1
715.116,223.1
715.565,227.6
716.31,213.6
716.586,210.5
717.348,198.4
717.955,189.9
718.778,193.5
719.287,200.8
720.087,212.0
720.591,217.0
721.408,219.2
721.69,219.0
722.506,216.1
722.995,212.1
723.78,212.6
724.142,214.0
724.975,210.5
725.474,211.5
726.25,211.1
726.577,211.4
727.899,210.1
728.594,210.2
728.988,211.1
729.837,210.0
730.26,212.2
730.908,210.2
731.184,210.7
731.861,211.6
732.322,213.7
732.994,208.1
733.329,207.7
734.022,210.6
734.463,216.2
735.135,214.7
735.41,217.9
736.107,217.2
736.522,213.1
737.27,206.9
737.66,204.5
738.581,191.7
739.175,185.6
740.106,185.4
